display  D   display_settings.c:212  debug_display_settings           [   0.10625] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.10640] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.10652] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.10668] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.10684] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.10699] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.10713] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.10727] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.10739] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.10752] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.10765] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.10781] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.10793] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.10807] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.10821] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.10835] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.10847] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.10861] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.10876] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 5/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.10888] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.10902] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 6/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.10918] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.10930] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 7/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.10945] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.10960] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 8/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.10976] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.10990] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.11004] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.11016] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.11033] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.11046] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.11061] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.11076] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.11092] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.11105] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.11120] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.11137] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.11152] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.11164] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.11181] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.11195] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.11208] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.11219] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.11232] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.11245] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.11260] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.11278] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.11292] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.11314] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.11329] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.11342] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.11356] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.11371] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.11385] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.11397] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.11409] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.11421] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.11431] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.11440] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.11452] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.11464] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.11477] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.11488] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.11504] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.11518] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.11533] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.11547] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.11565] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.11579] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.11598] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.11615] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.11632] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.11646] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.11663] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.11679] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.11694] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.11709] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.11727] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.11744] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.11763] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.11781] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.11798] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.11813] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.11830] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.11852] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.11872] Single Buffer requirement not met.
